[NÚMERO DE SERIES]
7

[NÚMERO DE REGISTROS]
16802

[VALOR DE DATOS FALTANTES]
-9999

[COORDENADAS X]
711505.202714 743514.182235 743452.700708 713949.957734 712890.563892 740998.343372 736963.676353

[COORDENADAS Y]
9675403.21389 9702309.26183 9704336.42371 9685345.21764 9682859.7167 9702845.20844 9702775.18491

[COORDENADAS Z]
2966.0 2894.0 2957.0 3021.0 2826.0 2810.0 2953.0

[MATRIZ DE DATOS]
Año Mes Día  SUSTAG CEBOLLAR Llaucay Nudpud TIXAN Uchucupun Zhindilig
1980 6 23 10883 78373.6 3888 3888 49249 6912 2592
1980 6 24 10883 78373.6 3888 3888 49249 6912 2592
1980 6 25 10883 78373.6 3888 3888 49249 6912 2592
1980 6 26 10883 78373.6 3888 3888 49249 6912 2592
1980 6 27 10883 78373.6 3888 3888 49249 6912 2592
1980 6 28 10883 78373.6 3888 3888 49249 6912 2592
1980 6 29 10883 78373.6 3888 3888 49249 6912 2592
1980 6 30 10883 78373.6 3888 3888 49249 6912 2592
1980 7 1 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 2 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 3 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 4 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 5 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 6 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 7 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 8 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 9 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 10 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 11 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 12 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 13 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 14 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 15 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 16 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 17 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 18 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 19 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 20 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 21 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 22 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 23 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 24 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 25 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 26 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 27 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 28 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 29 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 30 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 7 31 10729.9 78012.8 3888 3888 49414.6 6912 2592
1980 8 1 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 2 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 3 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 4 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 5 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 6 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 7 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 8 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 9 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 10 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 11 11140.6 75452.3 3888 3888 49026.5 6912 2592
